,WT dice,WT jaccard,TC dice,TC jaccard,ET dice,ET jaccard,Infer time (s),Train time (h),Params (1e6)
3DOnet_DoubleConv_Kernel1,0.8801,0.8022,0.7058,0.6017,0.66,0.5678,28.32,5.85,5.9
3DOnet_SingleConv_Kernel1,0.8753,0.7956,0.7282,0.6363,0.7093,0.6172,23.73,10.533,3.15
3DOnet_SingleConv_Kernel1_32_Channels,0.886,0.8085,0.7365,0.63,0.6706,0.5761,31.14,12.167,5.6
3DOnet_SingleConv_Kernel1_GELU,0.8817,0.805,0.7449,0.6435,0.7218,0.6266,23.78,6.65,3.15
3DOnet_SingleConv_Kernel1_GELU_AdamW,0.8879,0.8097,0.7572,0.6565,0.6948,0.6006,24.34,7.75,3.15
3DOnet_SingleConv_Kernel3,0.8593,0.7797,0.7217,0.6264,0.6597,0.5667,26.7,14.167,6.03
3DOnet_SingleConv_Kernel5,0.8705,0.7897,0.7064,0.5962,0.6877,0.5905,34.32,10.017,16.86
3DUnet,0.875,0.79,0.6736,0.5661,0.6414,0.5425,20.29,4.633,5.65
3DUnet_32_Channels,0.8651,0.781,0.6849,0.5722,0.6508,0.5498,23.38,5.317,10.05
3DUnet_Atten,0.829,0.7334,0.6216,0.5163,0.6267,0.5231,20.77,3.617,6.09
3DUnet_Dropout,0.8527,0.7719,0.6775,0.569,0.6427,0.5393,18.84,3.883,5.65
3DUnet_GELU,0.873,0.7944,0.7262,0.6323,0.6849,0.5888,18.85,5.833,5.65
3DUnet_SELU,0.8554,0.769,0.639,0.5303,0.6191,0.5144,18.98,3.567,5.65
3DUnet_SingleConv,0.8731,0.7901,0.682,0.5785,0.6246,0.521,16.36,5.567,3.01
SphereNet3D,0.8667,0.7929,0.7526,0.6582,0.686,0.593,38.62,10.45,6.13
SwinUNETR,0.8666,0.7902,0.6888,0.5758,0.664,0.5749,21.37,4.1,14.98
SwinUNETR_AdamW,0.8674,0.7861,0.6786,0.5657,0.6611,0.5722,21.84,6.8,14.98
SwinUNETR_DoubleLayerDepth,0.8733,0.7964,0.6643,0.5569,0.6706,0.5759,24.92,15.233,15.64
